event_date,event_type,asset,indicator
1/9/2026,password_reset,mlewer0,148.152.140.63
1/8/2026,login_failure,gmorillas1,172.72.17.86
1/23/2026,logout,mmatthewson2,184.135.203.84
1/22/2026,password_reset,aallicock3,206.60.137.13
1/7/2026,password_reset,hwathell4,6.1.6.147
1/1/2026,logout,sgoodban5,210.173.237.159
1/13/2026,login_failure,ifittes6,139.75.19.241
1/4/2026,password_reset,rdaymond7,16.141.114.238
1/9/2026,login_success,adawtrey8,244.238.198.32
1/13/2026,login_success,hgreasley9,217.221.21.179
1/7/2026,login_success,rspriggina,237.6.178.123
1/7/2026,password_reset,mbatalinib,5.70.1.250
1/20/2026,password_reset,wstuehmeyerc,241.92.98.214
1/19/2026,login_failure,pgunterd,164.127.154.215
1/23/2026,logout,bjoutapaviciuse,123.157.4.177
1/15/2026,login_success,tsherbrookf,62.85.157.59
1/10/2026,password_reset,tkelleng,180.123.131.213
1/29/2026,logout,mmacbreartyh,213.135.71.18
1/9/2026,login_failure,nacotti,24.175.199.21
1/13/2026,logout,cbagottj,238.194.243.112
1/30/2026,login_success,cpashank,145.89.237.8
1/10/2026,login_success,rpaverl,224.12.110.243
1/29/2026,login_failure,capplebym,199.79.79.35
1/19/2026,logout,jpenricen,249.51.115.0
1/20/2026,logout,emanntschkeo,119.126.228.76
1/12/2026,login_success,gcouronnep,149.17.35.175
1/30/2026,login_failure,jduggonq,238.171.0.143
1/6/2026,login_success,sdevoielsr,78.195.197.5
1/26/2026,password_reset,abridgers,4.204.193.105
1/29/2026,password_reset,chickt,13.165.215.229
1/12/2026,logout,lbaltzaru,254.18.123.19
1/20/2026,login_success,ebarrassev,100.38.115.13
1/18/2026,logout,dhazelhurstw,167.59.216.56
1/2/2026,login_failure,mvedekhinx,89.174.200.213
1/13/2026,password_reset,oshoveliny,33.232.232.187
1/9/2026,password_reset,hjeffordz,127.127.148.120
1/3/2026,logout,abim10,172.76.47.178
1/29/2026,logout,mhaking11,161.194.68.252
1/2/2026,logout,akettleson12,210.98.250.97
1/28/2026,password_reset,aeadon13,80.44.188.0
1/24/2026,login_failure,criddiough14,22.151.120.207
1/28/2026,login_success,btingey15,124.38.170.208
1/13/2026,login_failure,ldevoy16,121.4.212.32
1/7/2026,logout,asomerset17,75.156.26.112
1/20/2026,logout,cpressman18,107.176.50.85
1/5/2026,logout,estigers19,218.155.70.195
1/8/2026,login_failure,ihailes1a,241.7.192.216
1/5/2026,password_reset,ptreneer1b,90.71.208.133
1/27/2026,logout,sfladgate1c,255.175.21.229
1/23/2026,login_success,boharney1d,31.232.7.119
1/26/2026,password_reset,kvarker1e,36.73.171.138
1/3/2026,password_reset,ewetherick1f,169.254.187.211
1/19/2026,login_failure,tdaborne1g,182.60.226.153
1/29/2026,password_reset,jhanfrey1h,159.43.2.195
1/6/2026,logout,ralvar1i,15.54.232.66
1/24/2026,login_success,emason1j,24.6.124.54
1/25/2026,password_reset,mdungey1k,130.238.161.55
1/26/2026,logout,ghallowes1l,59.215.162.240
1/15/2026,login_success,gpeek1m,82.84.80.98
1/4/2026,login_success,ppunshon1n,202.229.6.178
1/6/2026,login_success,mstening1o,216.91.22.118
1/25/2026,logout,gsanti1p,208.203.241.78
1/10/2026,logout,sdennistoun1q,15.143.37.127
1/25/2026,password_reset,ekalisz1r,226.33.87.211
1/7/2026,password_reset,btest1s,16.223.126.113
1/30/2026,password_reset,cbucknell1t,68.159.101.37
1/6/2026,logout,lromeo1u,108.115.195.148
1/1/2026,login_failure,bmelchior1v,80.254.217.39
1/27/2026,login_success,mendrici1w,17.89.104.122
1/3/2026,password_reset,jsturzaker1x,69.235.125.172
1/25/2026,password_reset,kbrowning1y,35.48.111.249
1/11/2026,logout,hkinneally1z,180.21.50.170
1/26/2026,login_success,amonger20,133.44.59.192
1/5/2026,password_reset,acuffin21,253.111.192.27
1/18/2026,password_reset,asalomon22,222.100.155.15
1/26/2026,password_reset,boliveira23,18.131.29.59
1/4/2026,login_failure,mschlagtmans24,50.212.68.23
1/25/2026,logout,nsavine25,9.53.164.63
1/13/2026,login_success,ldutch26,64.136.158.48
1/9/2026,password_reset,ccausley27,211.170.50.172
1/3/2026,logout,jlippitt28,90.217.38.111
1/13/2026,logout,tgrafom29,146.160.22.222
1/15/2026,login_success,ljanout2a,10.44.133.142
1/6/2026,login_failure,achingedehals2b,136.8.78.65
1/30/2026,login_success,bida2c,11.64.3.223
1/17/2026,logout,cdunphy2d,101.148.176.111
1/21/2026,login_failure,rwhewill2e,130.232.251.105
